Company Name,Symbol,Share Volume,Trade volume,Previous Close (Rs.),Open (Rs.),High (Rs.),Low (Rs.),**Last Traded Price (Rs.),Change (Rs.),Change Percentage (%)
TOKYO CEMENT COMPANY (LANKA) PLC,TKYO.N0000,194358,62,32.40,32.00,32.40,31.20,32.00,-0.40,-1.23
TRANS ASIA HOTELS PLC,TRAN.N0000,594,9,72.00,71.90,71.90,66.00,66.20,-5.80,-8.06
UNION ASSURANCE PLC,UAL.N0000,258,4,337.60,326.00,335.00,326.00,335.00,-2.60,-0.77
UNION BANK OF COLOMBO PLC,UBC.N0000,526121,116,12.80,12.80,12.80,12.60,12.70,-0.10,-0.78
UNISYST ENGINEERING PLC,ALUF.N0000,534,2,14.10,14.20,14.20,14.10,14.10,0.00,0.00
UNITED MOTORS LANKA PLC,UML.N0000,27,3,66.80,66.20,66.20,66.20,66.80,0.00,0.00
VALLIBEL FINANCE PLC,VFIN.N0000,6,2,68.90,68.70,68.70,68.70,68.90,0.00,0.00
VALLIBEL ONE PLC,VONE.N0000,14586,19,16.20,16.20,16.20,15.80,15.90,-0.30,-1.85
VALLIBEL POWER ERATHNA PLC,VPEL.N0000,165171,34,6.10,6.00,6.00,6.00,6.00,-0.10,-1.64
VIDULLANKA PLC,VLL.N0000,112990,18,4.40,4.40,4.40,4.40,4.40,0.00,0.00
WASKADUWA BEACH RESORT PLC,CITW.N0000,12132,3,3.00,3.00,3.10,3.00,3.00,0.00,0.00
